GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Railway Ticket System,com.railway.ticketsystem.controller,PageController,13,0,0,0,6,0,6,0,6,0
Railway Ticket System,com.railway.ticketsystem.controller,NotificationController,20,0,0,0,4,0,4,0,4,0
Railway Ticket System,com.railway.ticketsystem.controller,UserController,38,0,0,0,9,0,3,0,3,0
Railway Ticket System,com.railway.ticketsystem.controller,FeedbackController,17,0,0,0,4,0,4,0,4,0
Railway Ticket System,com.railway.ticketsystem.controller,AuthController,32,0,2,0,9,0,3,0,2,0
Railway Ticket System,com.railway.ticketsystem.model,Notification,16,30,0,0,5,10,5,5,5,5
Railway Ticket System,com.railway.ticketsystem.model,LoginRequest,26,0,0,0,11,0,6,0,6,0
Railway Ticket System,com.railway.ticketsystem.model,Feedback,35,21,0,0,11,8,10,2,10,2
Railway Ticket System,com.railway.ticketsystem.model,User,25,73,0,0,7,22,7,11,7,11
Railway Ticket System,com.railway.ticketsystem,RailwayTicketSystemApplication,11,0,0,0,4,0,2,0,2,0
Railway Ticket System,com.railway.ticketsystem.security,SecurityConfig,31,0,0,0,8,0,6,0,6,0
Railway Ticket System,com.railway.ticketsystem.security,AuthFilter,60,0,8,0,17,0,6,0,2,0
Railway Ticket System,com.railway.ticketsystem.security,JwtUtils,63,0,0,0,25,0,4,0,4,0
Railway Ticket System,com.railway.ticketsystem.security,PasswordHasher,14,0,0,0,3,0,3,0,3,0
Railway Ticket System,com.railway.ticketsystem.security,PasswordConfig,7,0,0,0,2,0,2,0,2,0
Railway Ticket System,com.railway.ticketsystem.utils,EmailSender,22,0,0,0,7,0,2,0,2,0
Railway Ticket System,com.railway.ticketsystem.utils,NotificationHelper,8,0,0,0,3,0,2,0,2,0
Railway Ticket System,com.railway.ticketsystem.utils,ValidationUtils,25,0,4,0,4,0,6,0,4,0
Railway Ticket System,com.railway.ticketsystem.service,FeedbackService,3,22,1,1,1,6,1,4,0,4
Railway Ticket System,com.railway.ticketsystem.service,UserService,2,81,2,8,0,19,2,7,0,4
Railway Ticket System,com.railway.ticketsystem.service,AuthService,2,70,3,11,1,17,3,7,0,3
Railway Ticket System,com.railway.ticketsystem.service,NotificationService,0,40,1,3,0,11,1,5,0,4
